name;japanese_quote;english;with_hiragana
n5_entry;今月から給料がアップした;Salaries went up from this month.;今月[こんげつ]から 給料[きゅうりょう]がアップした
n5_entry;彼は煙草を灰皿に押し付けた;He stubbed out the cigarette in the ashtray.;彼[かれ]は 煙草[たばこ]を 灰皿[はいざら]に 押し付[おしつ]けた
n5_entry;毎日、ピアノの練習をする;I practice on the piano every day.;毎日[まいにち]、ピアノの 練習[れんしゅう]をする
n5_entry;お盆は八月十三日から十六日迄です;The Bon festival takes place from August 13 to 16.;お 盆[ぼん]は 八月[はちがつ]十三 日[にち]から十六 日[にち] 迄[まで]です
n5_entry;彼は野球が下手だ;He is not good at baseball.;彼[かれ]は 野球[やきゅう]が 下手[へた]だ
n5_entry;夕べカラオケに行った;I went to karaoke last night.;夕べカラオケに 行[い]った
n5_entry;何か冷たい飲み物を買って来て;Go and buy me a cold drink.;何[なに]か 冷[つめ]たい 飲み物[のみもの]を 買[か]って 来[き]て
n5_entry;他に質問はありませんか;Do you have any other questions?;他[ほか]に 質問[しつもん]はありませんか
n5_entry;生徒は誰もその質問に答えられなかった;No students were able to answer the question.;生徒[せいと]は 誰[だれ]もその 質問[しつもん]に 答[こた]えられなかった
n5_entry;彼のレポートは簡潔な文章で書かれていた;His report was written in concise sentences.;彼[かれ]のレポートは 簡潔[かんけつ]な 文章[ぶんしょう]で 書[か]かれていた
n5_entry;日本の新聞はふつう縦に書いてある;Japanese newspapers are usually written vertically.;日本[にほん]の 新聞[しんぶん]はふつう 縦[たて]に 書[か]いてある
n5_entry;平成は1989年一月八日から始まった;The Heisei era began on January 8, 1989.;平成[へいせい]は 1989 年[ねん] 一月[いちがつ]八 日[よおか]から 始[はじ]まった
n5_entry;母はまだ暗いうちに起きる;My mother gets up while it’s still dark.;母[はは]はまだ 暗[くら]いうちに 起[お]きる
n5_entry;毎晩ラジオを聞いている;I listen to the radio every night.;毎晩[まいばん]ラジオを 聞[き]いている
n5_entry;今晩暇ですか;Are you free tonight?;今晩[こんばん] 暇[ひま]ですか
n5_entry;彼は毎晩ビールを飲む;He drinks beer every night.;彼[かれ]は 毎晩[まいばん]ビールを 飲[の]む
n5_entry;私は朝食に牛乳を飲む;I have milk for breakfast.;私[わたし]は 朝食[ちょうしょく]に 牛乳[ぎゅうにゅう]を 飲[の]む
n5_entry;明日は晴れるでしょう;It will be fine tomorrow.;明日[あす]は 晴[は]れるでしょう
n5_entry;茶碗にご飯を盛って下さい;Please serve rice in a bowl.;茶碗[ちゃわん]にご 飯[はん]を 盛[も]って下[くだ]さい
n5_entry;彼は頭を掻いた;He scratched his head.;彼[かれ]は 頭[あたま]を 掻[か]いた
n5_entry;右手で鞄を持つ;I hold my bag with my right hand.;右手[みぎて]で 鞄[かばん]を 持[も]つ
n5_entry;もしよろしければご自宅の電話番号を教えて下さい;If you don’t mind, please tell me your home phone number.;もしよろしければご 自宅[じたく]の 電話[でんわ] 番号[ばんごう]を 教[おし]えて 下[くだ]さい
n5_entry;ソファーを置く場所を変えましょう;Let’s change the position of the sofa.;ソファーを 置[お]く 場所[ばしょ]を 変[か]えましょう
n5_entry;これは労働ビザではありません従って、 働くことは出来ません;This is not a working visa, therefore you can’t work.;これは 労働[ろうどう]ビザではありません 従[したが]って、 働[はたら]くことは 出来[でき]ません
n5_entry;「コーヒーは如何ですか」「いいえ、結構です」;“Would you like some coffee?” “No, thank you.”;「コーヒーは 如何[いかが]ですか」「いいえ、 結構[けっこう]です」
n5_entry;私は1972年の一月二日に生まれた;I was born on January 2 in 1972.;私[わたし]は 1972 年[ねん]の 一月[いちがつ]二 日[ふつか]に 生[う]まれた
n5_entry;十一月十日迄にお返事を下さい;Please respond by November 10.;十一月[じゅういちがつ]十 日[にち] 迄[まで]にお 返事[へんじ]を 下[くだ]さい
n5_entry;日本では年収が六百万円以上ある三十代の男性は少ない;There are few men in their thirties in Japan who earn more than six million yen in a year.;日本[にほん]では 年収[ねんしゅう]が六 百[ぴゃく] 万[まん] 円[えん] 以上[いじょう]ある三十 代[だい]の 男性[だんせい]は 少[すく]ない
n5_entry;どうやったら狭い部屋を広く見せられるだろう;How can I make my small room look larger?;どうやったら 狭[せま]い 部屋[へや]を 広[ひろ]く 見[み]せられるだろう
n5_entry;目的地迄飛行機ではなく他の乗り物で行くことが出来ますか;Is it possible to get to the destination by some other means of transportation, rather than by airplane?;目的[もくてき] 地[ち] 迄[まで] 飛行機[ひこうき]ではなく 他[ほか]の 乗り物[のりもの]で 行[い]くことが 出来[でき]ますか
n5_entry;ドアを閉めて鍵をかけた;I closed the door and locked it.;ドアを 閉[し]めて 鍵[かぎ]をかけた
n5_entry;妹は中学生です;My younger sister is a junior high school student.;妹[いもうと]は 中学生[ちゅうがくせい]です
n5_entry;彼は切手を集めている;He collects stamps.;彼[かれ]は 切手[きって]を 集[あつ]めている
n5_entry;住宅街に住む;He lives in a residential area.;住宅[じゅうたく] 街[がい]に 住[す]む
n5_entry;カバンに財布を入れるのを忘れてしまった;I forgot to put my wallet in my bag.;カバンに 財布[さいふ]を 入[い]れるのを 忘[わす]れてしまった
n5_entry;地球上には七つの大陸がある;There are seven continents on the earth.;地球[ちきゅう] 上[じょう]には 七[なな]つの 大陸[たいりく]がある
n5_entry;砂糖は少ししか残っていない;There is only a bit of sugar left.;砂糖[さとう]は 少[すこ]ししか 残[のこ]っていない
n5_entry;スプーン一杯の砂糖を加える;Add a teaspoon of sugar.;スプーン一 杯[ぱい]の 砂糖[さとう]を 加[くわ]える
n5_entry;彼は箸が上手に使えない;He can’t use chopsticks well.;彼[かれ]は 箸[はし]が 上手[じょうず]に 使[つか]えない
n5_entry;煩いな、ほっといてよ;Don’t bother me. Just leave me alone.;煩[うるさ]いな、ほっといてよ
n5_entry;落し物を交番に届けた;I reported some lost property to the police box.;落し物[おとしもの]を 交番[こうばん]に 届[とど]けた
n5_entry;彼は立派な職人だ;He is a fine craftsman.;彼[かれ]は 立派[りっぱ]な 職人[しょくにん]だ
n5_entry;大勢の人にこの歌を聞いてもらいたい;I hope that many people will hear this song.;大勢[おおぜい]の 人[ひと]にこの 歌[うた]を 聞[き]いてもらいたい
n5_entry;彼女は昨年五つの大会で優勝した;She won five tournaments last year.;彼女[かのじょ]は 昨年[さくねん] 五[いつ]つの 大会[たいかい]で 優勝[ゆうしょう]した
n5_entry;彼女の首は細い;She has a slender neck.;彼女[かのじょ]の 首[くび]は 細[ほそ]い
n5_entry;桜は毎年今頃咲く;The cherry trees bloom around this time of year.;桜[さくら]は 毎年[まいとし] 今頃[いまごろ] 咲[さ]く
n5_entry;靴を脱いだら、足が臭かった;My feet were smelly when I took my shoes off.;靴[くつ]を 脱[ぬ]いだら、 足[あし]が 臭[くさ]かった
n5_entry;彼は刑務所から脱出した;He broke out of prison.;彼[かれ]は 刑務所[けいむしょ]から 脱出[だっしゅつ]した
n5_entry;良い天気だが、風が冷たい;It’s a sunny day but the wind is chilly.;良[い]い 天気[てんき]だが、 風[かぜ]が 冷[つめ]たい
n5_entry;何か冷たい飲み物を買って来て;Go and buy me a cold drink.;何[なに]か 冷[つめ]たい 飲み物[のみもの]を 買[か]って 来[き]て
